id;titulo;descricao;cidade;estado;tipo_contratacao;salario;empresa;skills
38;Especialista em Redes;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;São Paulo;SP;Temporário; 4.913,00 ;IBM Brasil;HTML, Node.js, Scrum
39;Analista de Suporte Técnico;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Porto Alegre;RS;Temporário; 9.016,00 ;Microsoft Brasil;Docker, AWS, CSS, Power BI, Kubernetes
40;Analista de BI;Coordenar equipes de desenvolvimento, assegurando a entrega de projetos no prazo e orçamento.;Belo Horizonte;MG;Estágio; 4.122,00 ;TOTVS;Spark, CI/CD, Java, Node.js, GCP, Azure
41;Desenvolvedor Backend;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Rio de Janeiro;RJ;CLT; 11.319,00 ;Amazon Brasil;Node.js, Kanban, Kubernetes, Tableau, SQL, Power BI
42;Analista de BI;Conduzir projetos de ciência de dados, desde a coleta e limpeza até a modelagem e visualização.;Salvador;BA;Temporário; 14.391,00 ;Mercado Livre;Java, AWS, HTML, JavaScript, SQL
43;Cientista de Dados;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;PJ; 14.156,00 ;Petrobras;Scrum, Hadoop, React, Azure, Linux, Tableau
44;Engenheiro de Dados;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Salvador;BA;CLT; 9.396,00 ;Globo.com;Scrum, Java, Python, React, Linux, Node.js
45;Engenheiro de Machine Learning;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Salvador;BA;CLT; 11.192,00 ;Globo.com;Python, Scrum, HTML
46;Analista de BI;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;São Paulo;SP;Estágio; 13.471,00 ;Vale;SQL, React, AWS
47;Especialista em Redes;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Rio de Janeiro;RJ;Estágio; 11.234,00 ;Embraer;Linux, Tableau, Docker, AWS
48;Analista de Suporte Técnico;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Rio de Janeiro;RJ;PJ; 12.804,00 ;Gomes;GCP, React, AWS
49;Engenheiro DevOps;Prestar suporte técnico a usuários, solucionando problemas de hardware e software.;Rio de Janeiro;RJ;PJ; 4.872,00 ;Campos Costa - EI;NoSQL, Docker, Linux, Python, Java, Hadoop
50;Analista de Segurança da Informação;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;Temporário; 10.136,00 ;Lopes S/A;Spark, Linux, Node.js, Git
